RA,ano_nascimento,idade_atual,genero,faixa_etaria,ano_ingresso,status,instituicao_ensino,fase_2022,fase_2023,fase_2024,pedra_2022,pedra_2023,pedra_2024,inde_2022,inde_2023,inde_2024,inde_media,classificacao_geral_2022,classificacao_geral_2023,classificacao_geral_2024,classificacao_geral_media,autoavaliacao_2022,autoavaliacao_2023,autoavaliacao_2024,autoavaliacao_media,engajamento_2022,engajamento_2023,engajamento_2024,engajamento_media,psicossocial_2022,psicossocial_2023,psicossocial_2024,psicossocial_media,aprendizagem_2022,aprendizagem_2023,aprendizagem_2024,aprendizagem_media,matematica_2022,matematica_2023,matematica_2024,matematica_media,portugues_2022,portugues_2023,portugues_2024,portugues_media,ingles_2022,ingles_2023,ingles_2024,ingles_media,adequacao_nivel_2022,adequacao_nivel_2023,adequacao_nivel_2024,adequacao_nivel_media,fase_ideal_2022,fase_ideal_2023,fase_ideal_2024
RA-276,2008,17,Feminino,16-17 anos,2017,Veterano,Escola Pública | Privada - Programa de Apadrinhamento,3.0,4.0,,Quartzo,Agata,,5.527,6.690458333,,6.690458333,788.0,,,788.0,7.1,6.3,,6.3,5.7,8.5,,8.5,5.6,2.52,,2.52,4.3,5.5,,5.5,3.7,3.7,,3.7,6.0,4.7,,4.7,3.3,8.0,,8.0,5.0,10.0,,10.0,Fase 4 (9º ano),Fase 4 (9° ano),
RA-277,2008,17,Masculino,16-17 anos,2021,Veterano,Escola Pública | Pública | Privada *Parcerias com Bolsa 100%,3.0,4.0,7.0,Ametista,Ametista,Topázio,7.411,7.7284,8.0689833334,7.7361277778,354.0,,,354.0,7.1,8.3,8.334,7.911333333333334,8.8,9.9,9.741666667,9.480555555666667,7.5,7.52,6.5725,7.197500000000001,7.4,5.5,6.8999999999999995,6.6000000000000005,7.2,5.7,6.5,6.466666666666666,7.0,6.0,8.15,7.05,8.2,4.8,6.05,6.3500000000000005,5.0,5.0,10.0,6.666666666666667,Fase 4 (9º ano),Fase 5 (1° EM),Fase 5 (1° EM)
RA-278,2010,15,Masculino,13-15 anos,2021,Veterano,Rede Decisão | Pública | Privada - Programa de Apadrinhamento,3.0,4.0,5.0,Ametista,Ametista,Topázio,7.741,7.1935,8.907314492800001,7.9472714976,222.0,,,222.0,8.8,0.0,9.168,5.989333333333334,9.2,9.8,9.855072463666666,9.618357487888888,5.6,5.63,7.51,6.246666666666667,6.0,5.6,9.333333333333334,6.977777777777778,5.7,6.0,9.0,6.8999999999999995,5.8,5.3,9.0,6.7,6.4,5.5,10.0,7.3,10.0,10.0,10.0,10.0,Fase 3 (7º e 8º ano),Fase 3 (7° e 8° ano),Fase 4 (9° ano)
RA-279,2009,16,Masculino,16-17 anos,2021,Veterano,Rede Decisão | Pública | Privada - Programa de Apadrinhamento,3.0,4.0,5.0,Topázio,Topázio,Topázio,8.815,9.006266667,9.113133333366667,8.978133333455554,10.0,,,10.0,9.2,8.8,9.168,9.056,9.9,10.0,10.0,9.966666666666667,6.3,6.27,7.51,6.6933333333333325,9.1,8.9,9.333333333333334,9.111111111111112,9.7,9.0,10.0,9.566666666666666,8.3,8.5,8.0,8.266666666666667,9.3,9.3,10.0,9.533333333333333,10.0,10.0,10.0,10.0,Fase 3 (7º e 8º ano),Fase 4 (9° ano),Fase 4 (9° ano)
RA-280,2009,16,Feminino,16-17 anos,2021,Veterano,Rede Decisão | Privada - Programa de Apadrinhamento,3.0,4.0,5.0,Ametista,Topázio,Topázio,8.046,8.189225,8.822714492700001,8.352646497566667,133.0,,,133.0,7.5,6.7,7.917,7.372333333333333,9.2,9.5,9.855072463666666,9.518357487888888,7.5,7.52,6.26,7.093333333333334,7.1,6.5,9.333333333333334,7.644444444444445,5.7,6.3,10.0,7.333333333333333,7.0,7.7,8.0,7.566666666666666,8.7,5.5,10.0,8.066666666666666,10.0,10.0,10.0,10.0,Fase 3 (7º e 8º ano),Fase 4 (9° ano),Fase 4 (9° ano)
RA-281,2009,16,Feminino,16-17 anos,2019,Veterano,Escola Pública,3.0,,,Ágata,,,6.806,,,6.806,553.0,,,553.0,6.7,,,6.7,6.9,,,6.9,7.5,,,7.5,5.9,,,5.9,5.0,,,5.0,6.8,,,6.8,6.0,,,6.0,10.0,,,10.0,Fase 3 (7º e 8º ano),,
RA-282,2009,16,Feminino,16-17 anos,2019,Veterano,Escola Pública,3.0,,,Ágata,,,6.618,,,6.618,620.0,,,620.0,8.8,,,8.8,6.8,,,6.8,7.5,,,7.5,4.0,,,4.0,4.7,,,4.7,6.3,,,6.3,1.0,,,1.0,10.0,,,10.0,Fase 3 (7º e 8º ano),,
RA-283,2008,17,Masculino,16-17 anos,2021,Veterano,Escola Pública | Pública,3.0,3.0,4.0,Ametista,Ametista,Ametista,7.131,7.549025,7.9444309524,7.541485317466667,448.0,,,448.0,9.6,8.3,8.751,8.883666666666665,8.8,9.5,9.761904762,9.353968254,7.5,7.52,6.885,7.301666666666667,5.6,6.8,8.0,6.8,4.5,6.8,6.5,5.933333333333334,5.8,4.8,8.0,6.2,6.6,8.8,9.5,8.299999999999999,5.0,5.0,5.0,5.0,Fase 4 (9º ano),Fase 5 (1° EM),Fase 6 (2° EM)
RA-284,2009,16,Menino,16-17 anos,2022,Veterano,Escola Pública,3.0,,,Quartzo,,,5.939,,,5.939,734.0,,,734.0,6.7,,,6.7,5.1,,,5.1,5.6,,,5.6,3.8,,,3.8,7.0,,,7.0,4.5,,,4.5,0.0,,,0.0,10.0,,,10.0,Fase 3 (7º e 8º ano),,
RA-285,2006,19,Feminino,18+ anos,2020,Veterano,Escola Pública | Pública,3.0,4.0,,Quartzo,Quartzo,,5.063,5.380358333,,5.380358333,817.0,,,817.0,9.2,8.3,,8.3,4.1,4.6,,4.6,7.5,2.52,,2.52,2.8,4.7,,4.7,4.0,4.0,,4.0,3.2,6.0,,6.0,1.2,4.0,,4.0,2.5,2.5,,2.5,Fase 6 (2º EM),Fase 7 (3° EM),
