RA,ano_nascimento,idade_atual,genero,faixa_etaria,ano_ingresso,status,instituicao_ensino,fase_2022,fase_2023,fase_2024,pedra_2022,pedra_2023,pedra_2024,inde_2022,inde_2023,inde_2024,inde_media,classificacao_geral_2022,classificacao_geral_2023,classificacao_geral_2024,classificacao_geral_media,autoavaliacao_2022,autoavaliacao_2023,autoavaliacao_2024,autoavaliacao_media,engajamento_2022,engajamento_2023,engajamento_2024,engajamento_media,psicossocial_2022,psicossocial_2023,psicossocial_2024,psicossocial_media,aprendizagem_2022,aprendizagem_2023,aprendizagem_2024,aprendizagem_media,matematica_2022,matematica_2023,matematica_2024,matematica_media,portugues_2022,portugues_2023,portugues_2024,portugues_media,ingles_2022,ingles_2023,ingles_2024,ingles_media,adequacao_nivel_2022,adequacao_nivel_2023,adequacao_nivel_2024,adequacao_nivel_media,fase_ideal_2022,fase_ideal_2023,fase_ideal_2024
RA-1,2003,22,Feminino,18+ anos,2021,Veterano,Escola Pública | Privada *Parcerias com Bolsa 100%,7.0,8.0,8.0,Quartzo,,,5.783,,,5.783,753.0,,,753.0,8.3,,,8.3,4.1,,0.0,0.0,5.6,,,5.6,4.0,,,4.0,2.7,,,2.7,3.5,,,3.5,6.0,,,6.0,5.0,10.0,10.0,8.333333333333334,Fase 8 (Universitários),Fase 8 (Universitários),Fase 8 (Universitários)
RA-2,2005,20,Feminino,18+ anos,2021,Veterano,Rede Decisão | Privada *Parcerias com Bolsa 100%,7.0,8.0,8.0,Ametista,,,7.055,,,7.055,469.0,,,469.0,8.8,,,8.8,5.2,,0.0,0.0,6.3,,,6.3,6.8,,,6.8,6.3,,,6.3,4.5,,,4.5,9.7,,,9.7,10.0,10.0,10.0,10.0,Fase 7 (3º EM),Fase 8 (Universitários),Fase 8 (Universitários)
RA-3,2005,20,Feminino,18+ anos,2016,Veterano,Rede Decisão,7.0,,,Ágata,,,6.591,,,6.591,629.0,,,629.0,0.0,,,0.0,7.9,,,7.9,5.6,,,5.6,5.6,,,5.6,5.8,,,5.8,4.0,,,4.0,6.9,,,6.9,10.0,,,10.0,Fase 7 (3º EM),,
RA-4,2005,20,Menino,18+ anos,2017,Veterano,Rede Decisão,7.0,,,Quartzo,,,5.951,,,5.951,731.0,,,731.0,8.8,,,8.8,4.5,,,4.5,5.6,,,5.6,5.0,,,5.0,2.8,,,2.8,3.5,,,3.5,8.7,,,8.7,10.0,,,10.0,Fase 7 (3º EM),,
RA-5,2005,20,Feminino,18+ anos,2016,Veterano,Rede Decisão | Privada *Parcerias com Bolsa 100%,7.0,8.0,,Ametista,,,7.427,,,7.427,344.0,,,344.0,7.9,,,7.9,8.6,,,8.6,5.6,,,5.6,5.2,,,5.2,7.0,,,7.0,2.9,,,2.9,5.7,,,5.7,10.0,10.0,,10.0,Fase 7 (3º EM),Fase 8 (Universitários),
RA-6,2004,21,Feminino,18+ anos,2021,Veterano,Escola Pública | Privada - Pagamento por *Empresa Parceira | Privada *Parcerias com Bolsa 100%,7.0,8.0,8.0,Quartzo,,,5.848,,,5.848,745.0,,,745.0,7.9,,,7.9,4.5,,0.0,0.0,7.5,,,7.5,3.3,,,3.3,2.3,,,2.3,5.3,,,5.3,2.3,,,2.3,5.0,10.0,10.0,8.333333333333334,Fase 8 (Universitários),Fase 8 (Universitários),Fase 8 (Universitários)
RA-7,2004,21,Masculino,18+ anos,2021,Veterano,Rede Decisão | Privada *Parcerias com Bolsa 100%,7.0,8.0,8.0,Ágata,,,6.818,,,6.818,550.0,,,550.0,0.0,,,0.0,8.4,,0.0,0.0,7.5,,,7.5,7.6,,,7.6,8.2,,,8.2,5.7,,,5.7,9.0,,,9.0,5.0,10.0,10.0,8.333333333333334,Fase 8 (Universitários),Fase 8 (Universitários),Fase 8 (Universitários)
RA-8,2002,23,Feminino,18+ anos,2018,Veterano,Escola Pública,7.0,,,Quartzo,,,4.786,,,4.786,836.0,,,836.0,7.1,,,7.1,4.6,,,4.6,6.3,,,6.3,1.6,,,1.6,1.2,,,1.2,0.7,,,0.7,2.9,,,2.9,5.0,,,5.0,Fase 8 (Universitários),,
RA-9,2004,21,Feminino,18+ anos,2019,Veterano,Escola Pública,7.0,,,Topázio,,,8.109,,,8.109,113.0,,,113.0,8.8,,,8.8,9.5,,,9.5,7.5,,,7.5,6.7,,,6.7,5.5,,,5.5,6.0,,,6.0,8.7,,,8.7,5.0,,,5.0,Fase 8 (Universitários),,
RA-10,2004,21,Feminino,18+ anos,2021,Veterano,Escola Pública,7.0,,,Quartzo,,,5.784,,,5.784,752.0,,,752.0,8.3,,,8.3,5.2,,,5.2,5.0,,,5.0,4.1,,,4.1,3.3,,,3.3,2.6,,,2.6,6.4,,,6.4,5.0,,,5.0,Fase 8 (Universitários),,
RA-11,2004,21,Feminino,18+ anos,2016,Veterano,Escola Pública,7.0,,,Quartzo,,,5.323,,,5.323,799.0,,,799.0,9.2,,,9.2,4.2,,,4.2,5.0,,,5.0,3.0,,,3.0,1.8,,,1.8,2.5,,,2.5,4.5,,,4.5,5.0,,,5.0,Fase 8 (Universitários),,
RA-12,2005,20,Feminino,18+ anos,2021,Veterano,Escola Pública | Privada *Parcerias com Bolsa 100%,7.0,8.0,8.0,Quartzo,,,4.832,,,4.832,834.0,,,834.0,0.0,,,0.0,4.0,,0.0,0.0,6.9,,,6.9,1.5,,,1.5,2.7,,,2.7,1.1,,,1.1,0.7,,,0.7,10.0,10.0,10.0,10.0,Fase 7 (3º EM),Fase 8 (Universitários),Fase 8 (Universitários)
RA-13,2004,21,Masculino,18+ anos,2021,Veterano,Escola Pública | Privada *Parcerias com Bolsa 100%,7.0,8.0,8.0,Ágata,,,6.902,,,6.902,524.0,,,524.0,7.9,,,7.9,7.4,,0.0,0.0,7.5,,,7.5,4.7,,,4.7,3.5,,,3.5,5.5,,,5.5,5.2,,,5.2,5.0,10.0,10.0,8.333333333333334,Fase 8 (Universitários),Fase 8 (Universitários),Fase 8 (Universitários)
RA-14,2001,24,Masculino,18+ anos,2022,Veterano,Escola Pública | Privada *Parcerias com Bolsa 100%,7.0,8.0,8.0,Ágata,,,6.793,,,6.793,558.0,,,558.0,7.9,,,7.9,8.3,,0.0,0.0,7.5,,,7.5,4.0,,,4.0,8.0,,,8.0,0.0,,,0.0,,,,,5.0,10.0,10.0,8.333333333333334,Fase 8 (Universitários),Fase 8 (Universitários),Fase 8 (Universitários)
RA-15,2004,21,Menino,18+ anos,2022,Veterano,Escola Pública,7.0,,,Ametista,,,7.783,,,7.783,207.0,,,207.0,8.8,,,8.8,10.0,,,10.0,7.5,,,7.5,7.3,,,7.3,8.0,,,8.0,6.5,,,6.5,,,,,5.0,,,5.0,Fase 8 (Universitários),,
RA-16,2003,22,Menino,18+ anos,2022,Veterano,Escola Pública,7.0,,,Ágata,,,6.112,,,6.112,706.0,,,706.0,7.9,,,7.9,8.3,,,8.3,5.0,,,5.0,3.5,,,3.5,7.0,,,7.0,0.0,,,0.0,,,,,5.0,,,5.0,Fase 8 (Universitários),,
RA-17,2002,23,Masculino,18+ anos,2022,Veterano,Escola Pública | Privada - Pagamento por *Empresa Parceira,7.0,8.0,8.0,Topázio,,,8.068,,,8.068,125.0,,,125.0,8.8,,,8.8,10.0,,0.0,0.0,7.5,,,7.5,7.8,,,7.8,9.0,,,9.0,6.5,,,6.5,,,,,5.0,10.0,10.0,8.333333333333334,Fase 8 (Universitários),Fase 8 (Universitários),Fase 8 (Universitários)
RA-18,2003,22,Menino,18+ anos,2022,Veterano,Escola Pública,7.0,,,Ametista,,,7.226,,,7.226,418.0,,,418.0,6.3,,,6.3,8.7,,,8.7,6.3,,,6.3,9.0,,,9.0,9.0,,,9.0,9.0,,,9.0,,,,,5.0,,,5.0,Fase 8 (Universitários),,
RA-19,2003,22,Feminino,18+ anos,2022,Veterano,Escola Pública | Nenhuma das opções acima | Privada *Parcerias com Bolsa 100%,7.0,7.0,8.0,Ametista,Ametista,,7.665,7.710866667,,7.710866667,248.0,,,248.0,7.9,7.9,,7.9,9.5,9.4,0.0,6.3,7.5,5.63,,5.63,8.0,7.8,,7.8,7.0,7.7,,7.7,9.0,7.0,,7.0,,8.8,,8.8,5.0,5.0,10.0,6.666666666666667,Fase 8 (Universitários),Fase 8 (Universitários),Fase 8 (Universitários)
RA-20,2003,22,Feminino,18+ anos,2022,Veterano,Escola Pública,7.0,,,Ametista,,,7.535,,,7.535,296.0,,,296.0,7.1,,,7.1,10.0,,,10.0,6.3,,,6.3,7.8,,,7.8,9.0,,,9.0,6.5,,,6.5,,,,,5.0,,,5.0,Fase 8 (Universitários),,
RA-21,2004,21,Masculino,18+ anos,2022,Veterano,Escola Pública | Privada *Parcerias com Bolsa 100% | Privada - Pagamento por *Empresa Parceira,7.0,8.0,8.0,Ágata,,,6.945,,,6.945,508.0,,,508.0,9.6,,,9.6,9.2,,0.0,0.0,7.5,,,7.5,3.8,,,3.8,7.0,,,7.0,0.5,,,0.5,,,,,5.0,10.0,10.0,8.333333333333334,Fase 8 (Universitários),Fase 8 (Universitários),Fase 8 (Universitários)
RA-22,2005,20,Feminino,18+ anos,2019,Veterano,Rede Decisão,6.0,,,Ametista,,,7.474,,,7.474,327.0,,,327.0,8.3,,,8.3,7.4,,,7.4,8.1,,,8.1,6.7,,,6.7,9.0,,,9.0,3.1,,,3.1,7.8,,,7.8,5.0,,,5.0,Fase 7 (3º EM),,
RA-23,2005,20,Masculino,18+ anos,2021,Veterano,Escola Pública | Privada *Parcerias com Bolsa 100%,6.0,8.0,8.0,Ametista,,,7.677,,,7.677,243.0,,,243.0,8.3,,,8.3,8.2,,0.0,0.0,8.1,,,8.1,6.7,,,6.7,7.2,,,7.2,4.7,,,4.7,8.2,,,8.2,5.0,10.0,10.0,8.333333333333334,Fase 7 (3º EM),Fase 7 (3° EM),Fase 8 (Universitários)
RA-24,2005,20,Feminino,18+ anos,2021,Veterano,Rede Decisão,6.0,,,Topázio,,,8.087,,,8.087,119.0,,,119.0,9.2,,,9.2,7.9,,,7.9,6.9,,,6.9,8.6,,,8.6,10.0,,,10.0,6.3,,,6.3,9.7,,,9.7,5.0,,,5.0,Fase 7 (3º EM),,
RA-25,2005,20,Feminino,18+ anos,2021,Veterano,Escola Pública | Privada *Parcerias com Bolsa 100%,6.0,8.0,8.0,Ametista,,,7.979,,,7.979,147.0,,,147.0,8.3,,,8.3,8.3,,0.0,0.0,8.8,,,8.8,6.9,,,6.9,9.2,,,9.2,3.8,,,3.8,7.7,,,7.7,5.0,10.0,10.0,8.333333333333334,Fase 7 (3º EM),Fase 8 (Universitários),Fase 8 (Universitários)
RA-26,2005,20,Masculino,18+ anos,2022,Veterano,Escola Pública | Privada *Parcerias com Bolsa 100%,6.0,7.0,8.0,Topázio,,,8.677,,,8.677,17.0,,,17.0,9.6,0.0,,0.0,8.8,,0.0,0.0,10.0,7.52,,7.52,8.0,,,8.0,9.5,,,9.5,4.4,,,4.4,10.0,,,10.0,5.0,5.0,10.0,6.666666666666667,Fase 7 (3º EM),Fase 8 (Universitários),Fase 8 (Universitários)
RA-27,2006,19,Masculino,18+ anos,2021,Veterano,Rede Decisão | Privada - Programa de Apadrinhamento | Privada *Parcerias com Bolsa 100%,6.0,7.0,8.0,Ametista,Ametista,,7.124,7.921266667,,7.921266667,449.0,,,449.0,0.0,6.7,,6.7,7.6,7.7,0.0,5.1000000000000005,8.1,6.89,,6.89,8.0,6.9,,6.9,7.7,7.0,,7.0,6.3,5.8,,5.8,10.0,8.0,,8.0,5.0,10.0,10.0,8.333333333333334,Fase 7 (3º EM),Fase 7 (3° EM),Fase 8 (Universitários)
RA-28,2005,20,Feminino,18+ anos,2019,Veterano,Escola Pública,6.0,,,Ágata,,,6.242,,,6.242,698.0,,,698.0,7.9,,,7.9,6.1,,,6.1,7.5,,,7.5,5.0,,,5.0,8.2,,,8.2,1.5,,,1.5,5.3,,,5.3,5.0,,,5.0,Fase 7 (3º EM),,
RA-29,2005,20,Masculino,18+ anos,2022,Veterano,Escola Pública | Privada *Parcerias com Bolsa 100% | Privada - Pagamento por *Empresa Parceira,6.0,8.0,8.0,Quartzo,,,4.985,,,4.985,821.0,,,821.0,0.0,,,0.0,4.0,,0.0,0.0,8.8,,,8.8,3.7,,,3.7,6.3,,,6.3,1.1,,,1.1,3.8,,,3.8,5.0,10.0,10.0,8.333333333333334,Fase 7 (3º EM),Fase 8 (Universitários),Fase 8 (Universitários)
RA-30,2006,19,Feminino,18+ anos,2021,Veterano,Escola Pública,6.0,,,Ametista,,,7.605,,,7.605,270.0,,,270.0,8.8,,,8.8,6.4,,,6.4,7.5,,,7.5,7.5,,,7.5,8.5,,,8.5,4.4,,,4.4,9.7,,,9.7,10.0,,,10.0,Fase 6 (2º EM),,
RA-31,2005,20,Feminino,18+ anos,2021,Veterano,Rede Decisão | Privada *Parcerias com Bolsa 100%,6.0,8.0,8.0,Topázio,,,8.843,,,8.843,9.0,,,9.0,10.0,,,10.0,9.5,,0.0,0.0,9.4,,,9.4,8.0,,,8.0,9.0,,,9.0,5.7,,,5.7,9.3,,,9.3,5.0,10.0,10.0,8.333333333333334,Fase 7 (3º EM),Fase 8 (Universitários),Fase 8 (Universitários)
RA-32,2006,19,Feminino,18+ anos,2018,Veterano,Rede Decisão | Privada - Programa de Apadrinhamento,6.0,7.0,,Ametista,Agata,,7.37,6.716666667,,6.716666667,370.0,,,370.0,8.8,0.0,,0.0,5.2,8.2,,8.2,8.8,3.77,,3.77,6.1,7.9,,7.9,5.7,9.0,,9.0,3.6,5.8,,5.8,8.9,9.0,,9.0,10.0,10.0,,10.0,Fase 6 (2º EM),Fase 7 (3° EM),
RA-33,2005,20,Feminino,18+ anos,2020,Veterano,Escola Pública,6.0,,,Quartzo,,,4.952,,,4.952,824.0,,,824.0,0.0,,,0.0,4.6,,,4.6,7.5,,,7.5,4.8,,,4.8,9.0,,,9.0,1.6,,,1.6,3.7,,,3.7,5.0,,,5.0,Fase 7 (3º EM),,
RA-34,2005,20,Masculino,18+ anos,2016,Veterano,Rede Decisão | Privada *Parcerias com Bolsa 100%,6.0,8.0,,Ágata,,,6.259,,,6.259,692.0,,,692.0,9.6,,,9.6,4.8,,,4.8,8.1,,,8.1,3.8,,,3.8,4.7,,,4.7,4.0,,,4.0,2.8,,,2.8,5.0,10.0,,10.0,Fase 7 (3º EM),Fase 8 (Universitários),
RA-35,2005,20,Feminino,18+ anos,2021,Veterano,Rede Decisão | Privada *Parcerias com Bolsa 100%,6.0,8.0,8.0,Topázio,,,8.965,,,8.965,5.0,,,5.0,10.0,,,10.0,9.6,,0.0,0.0,9.4,,,9.4,8.5,,,8.5,9.0,,,9.0,7.1,,,7.1,9.3,,,9.3,5.0,10.0,10.0,8.333333333333334,Fase 7 (3º EM),Fase 8 (Universitários),Fase 8 (Universitários)
RA-36,2005,20,Feminino,18+ anos,2021,Veterano,Rede Decisão | Privada *Parcerias com Bolsa 100%,6.0,8.0,8.0,Ametista,,,7.876,,,7.876,177.0,,,177.0,9.2,,,9.2,9.0,,0.0,0.0,6.9,,,6.9,6.8,,,6.8,8.5,,,8.5,4.3,,,4.3,7.8,,,7.8,5.0,10.0,10.0,8.333333333333334,Fase 7 (3º EM),Fase 8 (Universitários),Fase 8 (Universitários)
RA-37,2005,20,Feminino,18+ anos,2019,Veterano,Rede Decisão,6.0,,,Quartzo,,,4.95,,,4.95,825.0,,,825.0,0.0,,,0.0,5.4,,,5.4,5.0,,,5.0,5.9,,,5.9,2.3,,,2.3,5.3,,,5.3,10.0,,,10.0,5.0,,,5.0,Fase 7 (3º EM),,
RA-38,2005,20,Feminino,18+ anos,2021,Veterano,Rede Decisão | Privada - Programa de Apadrinhamento,6.0,7.0,8.0,Topázio,Topázio,,8.523,8.835333333,,8.835333333,31.0,,,31.0,9.2,9.6,,9.6,8.9,9.7,0.0,6.2,7.5,7.52,,7.52,8.6,7.7,,7.7,9.0,8.2,,8.2,7.0,8.8,,8.8,9.7,6.0,,6.0,5.0,10.0,10.0,8.333333333333334,Fase 7 (3º EM),Fase 7 (3° EM),Fase 8 (Universitários)
RA-39,2006,19,Feminino,18+ anos,2021,Veterano,Rede Decisão | Privada - Programa de Apadrinhamento | Privada *Parcerias com Bolsa 100%,6.0,7.0,8.0,Ágata,Topázio,,6.033,8.710333333,,8.710333333,722.0,,,722.0,0.0,9.6,,9.6,4.8,9.1,0.0,4.633333333333333,6.9,7.52,,7.52,6.9,7.8,,7.8,7.7,8.3,,8.3,5.1,7.8,,7.8,7.8,7.2,,7.2,10.0,10.0,10.0,10.0,Fase 6 (2º EM),Fase 7 (3° EM),Fase 8 (Universitários)
RA-40,2006,19,Feminino,18+ anos,2021,Veterano,Rede Decisão | Privada - Programa de Apadrinhamento,5.0,6.0,7.0,Ametista,Ametista,Ametista,7.203,7.169975,7.098051462066667,7.1570088206888895,429.0,,,429.0,7.9,7.5,7.083,7.4943333333333335,7.8,8.2,7.211257310000001,7.73708577,7.5,7.52,8.13,7.716666666666666,6.8,5.9,5.333333333333333,6.01111111111111,4.7,6.2,3.5,4.8,7.3,5.7,6.0,6.333333333333333,8.4,5.8,6.5,6.8999999999999995,5.0,5.0,10.0,6.666666666666667,Fase 6 (2º EM),Fase 7 (3° EM),Fase 7 (3° EM)
RA-41,2005,20,Menino,18+ anos,2018,Veterano,Escola Pública,5.0,,,Quartzo,,,5.581,,,5.581,777.0,,,777.0,9.2,,,9.2,6.1,,,6.1,5.0,,,5.0,5.6,,,5.6,6.3,,,6.3,2.5,,,2.5,8.0,,,8.0,5.0,,,5.0,Fase 7 (3º EM),,
RA-42,2007,18,Masculino,18+ anos,2021,Veterano,Rede Decisão | Privada - Programa de Apadrinhamento | Pública,5.0,5.0,6.0,Ágata,Agata,Ametista,6.72,6.794516667,7.656628769866667,7.057048478955555,582.0,,,582.0,8.3,8.8,9.168,8.756,7.9,8.6,9.682539682666667,8.727513227555555,5.6,5.63,5.635,5.621666666666667,4.8,5.7,8.166666666666666,6.222222222222221,3.7,6.3,9.0,6.333333333333333,4.5,4.2,7.5,5.3999999999999995,6.2,6.7,8.0,6.966666666666666,10.0,5.0,5.0,6.666666666666667,Fase 5 (1º EM),Fase 6 (2° EM),Fase 7 (3° EM)
RA-43,2006,19,Feminino,18+ anos,2019,Veterano,Escola Pública | Pública,5.0,6.0,,Quartzo,Agata,,5.486,6.4622,,6.4622,791.0,,,791.0,6.3,7.9,,7.9,6.5,6.7,,6.7,5.6,5.63,,5.63,4.3,5.0,,5.0,4.0,4.0,,4.0,5.8,5.0,,5.0,3.2,6.0,,6.0,5.0,5.0,,5.0,Fase 6 (2º EM),Fase 7 (3° EM),
RA-44,2005,20,Feminino,18+ anos,2021,Veterano,Escola Pública | Pública,5.0,6.0,,Quartzo,Agata,,5.542,6.258333333,,6.258333333,785.0,,,785.0,5.0,0.0,,0.0,5.9,8.5,,8.5,7.5,5.01,,5.01,3.0,6.9,,6.9,2.3,7.3,,7.3,3.5,5.8,,5.8,3.2,7.5,,7.5,5.0,5.0,,5.0,Fase 7 (3º EM),Fase 8 (Universitários),
RA-45,2007,18,Feminino,18+ anos,2021,Veterano,Rede Decisão | Privada - Programa de Apadrinhamento,5.0,6.0,7.0,Ametista,Topázio,Topázio,7.591,8.303591667,8.743476190400001,8.212689285800002,277.0,,,277.0,7.9,7.1,7.5,7.5,8.9,9.6,9.619047619,9.373015873,5.6,6.26,9.38,7.080000000000001,6.8,7.9,8.0,7.566666666666666,6.3,7.8,7.5,7.2,5.2,6.3,7.0,6.166666666666667,8.8,9.7,9.5,9.333333333333334,10.0,10.0,10.0,10.0,Fase 5 (1º EM),Fase 6 (2° EM),Fase 7 (3° EM)
RA-46,2005,20,Feminino,18+ anos,2022,Veterano,Escola Pública | Pública,5.0,5.0,,Ágata,Quartzo,,6.048,5.545383333,,5.545383333,719.0,,,719.0,8.8,7.1,,7.1,8.4,7.4,,7.4,6.3,2.52,,2.52,2.1,4.4,,4.4,2.8,2.8,,2.8,2.8,3.0,,3.0,0.7,7.3,,7.3,5.0,2.5,,2.5,Fase 7 (3º EM),Fase 8 (Universitários),
RA-47,2005,20,Feminino,18+ anos,2022,Veterano,Escola Pública,5.0,,,Quartzo,,,5.677,,,5.677,762.0,,,762.0,7.9,,,7.9,6.3,,,6.3,7.5,,,7.5,2.1,,,2.1,2.5,,,2.5,2.2,,,2.2,1.5,,,1.5,5.0,,,5.0,Fase 7 (3º EM),,
RA-48,2007,18,Feminino,18+ anos,2021,Veterano,Rede Decisão | Privada - Programa de Apadrinhamento,5.0,6.0,7.0,Ametista,Ametista,Topázio,8.006,7.797058333,8.402390371800001,8.0684829016,140.0,,,140.0,6.7,6.7,7.917,7.105666666666667,8.4,8.4,8.339076859,8.379692286333333,7.5,6.26,9.375,7.711666666666666,8.1,7.7,7.5,7.766666666666667,6.7,8.3,6.5,7.166666666666667,8.0,5.7,6.0,6.566666666666666,9.5,9.0,10.0,9.5,10.0,10.0,10.0,10.0,Fase 5 (1º EM),Fase 6 (2° EM),Fase 7 (3° EM)
RA-49,2005,20,Feminino,18+ anos,2022,Veterano,Escola Pública | Privada *Parcerias com Bolsa 100% | Privada - Pagamento por *Empresa Parceira,5.0,8.0,8.0,Ágata,,,6.304,,,6.304,687.0,,,687.0,7.5,,,7.5,7.4,,0.0,0.0,7.5,,,7.5,3.9,,,3.9,1.5,,,1.5,4.2,,,4.2,6.2,,,6.2,5.0,10.0,10.0,8.333333333333334,Fase 7 (3º EM),Fase 8 (Universitários),Fase 8 (Universitários)
RA-50,2004,21,Feminino,18+ anos,2022,Veterano,Escola Pública,5.0,,,Ametista,,,7.138,,,7.138,445.0,,,445.0,7.5,,,7.5,8.4,,,8.4,7.5,,,7.5,7.8,,,7.8,6.5,,,6.5,7.3,,,7.3,9.7,,,9.7,2.5,,,2.5,Fase 8 (Universitários),,
RA-51,2005,20,Feminino,18+ anos,2022,Veterano,Escola Pública,5.0,,,Ágata,,,6.488,,,6.488,645.0,,,645.0,8.8,,,8.8,7.6,,,7.6,7.5,,,7.5,5.0,,,5.0,4.5,,,4.5,4.5,,,4.5,6.0,,,6.0,5.0,,,5.0,Fase 7 (3º EM),,
RA-52,2009,16,Masculino,16-17 anos,2021,Veterano,Rede Decisão | Privada - Programa de Apadrinhamento | Privada *Parcerias com Bolsa 100%,5.0,5.0,7.0,Ametista,Ametista,Topázio,7.861,7.9642,8.144466666733333,7.989888888911111,183.0,,,183.0,9.6,10.0,8.751,9.450333333333333,8.9,9.8,9.437666667,9.379222222333334,7.5,2.52,6.885,5.635000000000001,6.2,6.4,7.216666666666666,6.605555555555555,3.3,7.7,6.8,5.933333333333334,6.3,4.8,8.85,6.6499999999999995,8.8,6.7,6.0,7.166666666666667,10.0,10.0,10.0,10.0,Fase 3 (7º e 8º ano),Fase 4 (9° ano),Fase 5 (1° EM)
RA-53,2005,20,Masculino,18+ anos,2022,Veterano,Escola Pública | Concluiu o 3º EM,5.0,6.0,,Ágata,Ametista,,6.725,7.600633333,,7.600633333,579.0,,,579.0,9.2,9.2,,9.2,7.0,9.1,,9.1,7.5,5.63,,5.63,7.0,7.7,,7.7,6.0,7.3,,7.3,8.0,6.5,,6.5,,9.2,,9.2,5.0,5.0,,5.0,Fase 7 (3º EM),Fase 8 (Universitários),
RA-54,2006,19,Feminino,18+ anos,2022,Veterano,Escola Pública,5.0,,,Ágata,,,6.058,,,6.058,716.0,,,716.0,7.9,,,7.9,6.9,,,6.9,7.5,,,7.5,4.8,,,4.8,3.0,,,3.0,6.5,,,6.5,,,,,5.0,,,5.0,Fase 6 (2º EM),,
RA-55,2006,19,Feminino,18+ anos,2017,Veterano,Escola Pública | Pública,5.0,6.0,,Ágata,Agata,,6.576,6.898033333,,6.898033333,634.0,,,634.0,7.1,7.9,,7.9,7.6,8.1,,8.1,5.6,3.14,,3.14,7.5,7.1,,7.1,6.7,8.7,,8.7,7.8,6.5,,6.5,7.9,6.0,,6.0,5.0,5.0,,5.0,Fase 6 (2º EM),Fase 7 (3° EM),
RA-56,2007,18,Feminino,18+ anos,2021,Veterano,Rede Decisão | Privada - Programa de Apadrinhamento,5.0,6.0,7.0,Topázio,Topázio,Topázio,8.404,8.284333333,9.077020175400001,8.588451169466667,46.0,,,46.0,10.0,9.6,10.002,9.867333333333335,10.0,9.5,9.265350877333333,9.588450292444444,7.5,5.0,10.0,7.5,7.0,7.8,7.666666666666667,7.48888888888889,4.5,7.8,8.0,6.766666666666667,6.5,5.5,6.0,6.0,10.0,10.0,9.0,9.666666666666666,10.0,10.0,10.0,10.0,Fase 5 (1º EM),Fase 6 (2° EM),Fase 7 (3° EM)
RA-57,2006,19,Masculino,18+ anos,2021,Veterano,Rede Decisão | Privada - Programa de Apadrinhamento,5.0,6.0,7.0,Ametista,Agata,Ametista,7.305,6.450875,7.4193804301999995,7.058418476733333,388.0,,,388.0,7.1,0.0,9.585,5.561666666666667,8.1,8.0,6.010860484333333,7.370286828111111,5.6,5.63,6.88,6.036666666666666,8.4,7.2,6.166666666666667,7.255555555555556,9.0,7.8,6.0,7.6000000000000005,7.0,6.8,6.5,6.766666666666667,9.3,7.0,6.0,7.433333333333334,5.0,5.0,10.0,6.666666666666667,Fase 6 (2º EM),Fase 7 (3° EM),Fase 7 (3° EM)
RA-58,2007,18,Masculino,18+ anos,2021,Veterano,Rede Decisão | Privada - Programa de Apadrinhamento,5.0,6.0,7.0,Topázio,Ametista,Topázio,8.136,7.70625,8.7713289474,8.2045263158,103.0,,,103.0,9.6,0.0,9.585,6.3950000000000005,9.2,9.7,9.824561403666666,9.57485380122222,6.3,6.26,7.51,6.69,7.2,8.1,7.333333333333333,7.544444444444444,4.5,7.8,8.0,6.766666666666667,8.0,6.5,6.5,7.0,9.0,10.0,7.5,8.833333333333334,10.0,10.0,10.0,10.0,Fase 5 (1º EM),Fase 6 (2° EM),Fase 7 (3° EM)
RA-59,2005,20,Masculino,18+ anos,2022,Veterano,Escola Pública | Privada - Programa de Apadrinhamento | Privada *Parcerias com Bolsa 100%,5.0,6.0,8.0,Ametista,Ametista,,7.642,7.692291667,,7.692291667,257.0,,,257.0,9.2,7.5,,7.5,9.3,9.6,0.0,6.3,7.5,5.63,,5.63,7.2,7.2,,7.2,7.0,7.7,,7.7,5.7,6.8,,6.8,8.8,7.2,,7.2,5.0,5.0,10.0,6.666666666666667,Fase 7 (3º EM),Fase 8 (Universitários),Fase 8 (Universitários)
RA-60,2004,21,Feminino,18+ anos,2021,Veterano,Escola Pública,5.0,,,Quartzo,,,5.537,,,5.537,787.0,,,787.0,6.7,,,6.7,6.0,,,6.0,7.5,,,7.5,4.9,,,4.9,5.0,,,5.0,6.2,,,6.2,3.5,,,3.5,2.5,,,2.5,Fase 8 (Universitários),,
RA-61,2007,18,Masculino,18+ anos,2021,Veterano,Escola Pública | Pública,5.0,6.0,,Ametista,Ametista,,7.533,7.382108333,,7.382108333,298.0,,,298.0,9.2,8.3,,8.3,7.4,7.0,,7.0,7.5,6.26,,6.26,5.8,6.2,,6.2,1.7,6.7,,6.7,6.3,4.3,,4.3,9.3,7.5,,7.5,10.0,10.0,,10.0,Fase 5 (1º EM),Fase 6 (2° EM),
RA-62,2005,20,Feminino,18+ anos,2022,Veterano,Escola Pública | Pública | Privada *Parcerias com Bolsa 100%,5.0,7.0,8.0,Ametista,Ametista,,7.891,7.610333333,,7.610333333,173.0,,,173.0,8.8,0.0,,0.0,9.4,9.8,0.0,6.400000000000001,7.5,6.89,,6.89,9.3,7.5,,7.5,8.5,9.3,,9.3,10.0,6.8,,6.8,,6.3,,6.3,5.0,10.0,10.0,8.333333333333334,Fase 7 (3º EM),Fase 7 (3° EM),Fase 8 (Universitários)
